28,-65,9
29,-73,9
28,-81,8
29,-78,10
29,-55,13
27,-44,14
24,-37,12
20,-51,8
20,-65,8
22,-75,11
21,-71,10
21,-60,12
22,-52,14
18,-47,14
18,-45,14
20,-46,15
21,-49,14
21,-51,14
22,-50,14
22,-49,13
23,-57,12
25,-62,14
26,-71,14
25,-62,15
22,-56,14
26,-60,10
27,-63,10
31,-67,10
33,-64,12
32,-58,9
28,-58,7
22,-56,5
24,-61,4
24,-66,3
23,-71,2
21,-71,2
20,-64,1
18,-62,1
18,-58,1
18,-56,1
18,-52,2
18,-51,3
17,-54,2
20,-63,1
19,-65,1
19,-59,3
22,-58,5
24,-55,9
25,-55,10
24,-59,10
22,-62,11
23,-62,11
26,-60,13
27,-58,13
27,-55,10
26,-58,9
27,-59,9
28,-57,10
28,-57,10
27,-56,9
26,-56,9
26,-57,10
26,-58,10
25,-56,10
24,-55,9
24,-59,8
25,-64,8
25,-63,9
24,-55,9
23,-53,9
21,-52,8
19,-53,8
21,-57,8
23,-63,9
22,-67,12
25,-63,15
25,-63,15
28,-57,18
28,-53,17
27,-50,16
26,-51,14
25,-52,12
25,-52,11
24,-52,10
26,-53,10
26,-54,10
26,-57,10
26,-59,10
25,-59,10
24,-58,11
24,-57,10
23,-60,9
25,-60,10
26,-66,9
27,-68,9
24,-68,8
23,-67,8
21,-60,8
20,-58,8
18,-54,7
18,-57,5
20,-59,4
21,-69,1
22,-71,0
19,-65,-1
18,-59,-1
19,-51,1
20,-50,1
20,-52,1
22,-54,2
24,-56,3
27,-60,3
28,-61,4
27,-61,6
27,-60,7
27,-58,11
25,-61,10
24,-63,11
26,-66,13
27,-67,12
28,-65,13
28,-63,13
26,-56,12
24,-59,9
21,-62,7
21,-56,6
21,-50,5
22,-46,5
22,-50,5
23,-61,8
21,-67,9
20,-61,10
21,-55,12
23,-47,17
22,-48,18
21,-48,16
24,-50,18
26,-50,19
26,-50,19
26,-51,18
27,-54,17
26,-55,15
26,-59,13
26,-64,12
29,-62,11
27,-63,9
27,-68,8
31,-78,8
27,-74,8
24,-54,10
24,-52,7
25,-57,6
18,-67,2
23,-66,5
19,-64,1
20,-59,2
20,-52,1
19,-51,1
19,-53,0
20,-54,1
22,-54,2
25,-55,4
25,-56,4
25,-58,6
24,-60,7
23,-64,8
22,-65,7
25,-72,7
28,-79,8
28,-78,9
25,-57,11
25,-45,12
21,-40,8
21,-48,6
21,-64,9
20,-65,11
25,-54,13
23,-49,11
23,-49,12
22,-49,10
23,-49,10
23,-51,9
24,-51,9
25,-50,9
27,-50,10
28,-51,10
29,-56,9
30,-60,8
31,-63,6
33,-69,5
35,-70,4
35,-68,3
36,-53,3
32,-52,4
29,-60,1
30,-77,-7
24,-77,-9
21,-63,-5
21,-58,-5
21,-52,-6
24,-55,-6
21,-59,-7
19,-61,-5
19,-60,-4
21,-57,-2
20,-58,-1
18,-59,-1
17,-62,1
15,-70,4
15,-75,5
15,-79,6
19,-68,13
19,-63,15
17,-49,17
16,-46,15
15,-54,14
16,-60,16
16,-61,16
19,-53,18
19,-49,17
18,-47,16
20,-49,16
20,-50,15
21,-51,14
23,-51,16
23,-49,15
22,-46,15
24,-51,15
25,-57,14
27,-69,13
30,-70,14
24,-65,15
31,-59,16
29,-63,7
32,-69,8
30,-61,8
28,-53,6
26,-52,4
25,-60,3
26,-67,2
26,-70,1
23,-68,-1
19,-59,-2
19,-59,-2
20,-59,-4
21,-62,-5
21,-63,-5
23,-62,-3
21,-61,-4
21,-59,-4
