,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
93,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83
94,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91
95,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5
96,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74
97,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23
98,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22
99,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96
100,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37
101,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21
102,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67
103,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88
104,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45
105,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02
106,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84
107,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63
108,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66
109,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95
110,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37
111,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9
112,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58
113,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43
114,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35
115,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5
116,144.38,144.38,144.38,144.38,144.38,144.38,144.38,144.38,144.38,144.38
117,158.69,158.69,158.69,158.69,158.69,158.69,158.69,158.69,158.69,158.69
118,169.15,169.15,169.15,169.15,169.15,169.15,169.15,169.15,169.15,169.15
119,176.37,176.37,176.37,176.37,176.37,176.37,176.37,176.37,176.37,176.37
120,180.75,180.75,180.75,180.75,180.75,180.75,180.75,180.75,180.75,180.75
121,182.57,182.57,182.57,182.57,182.57,182.57,182.57,182.57,182.57,182.57
122,182.07,182.07,182.07,182.07,182.07,182.07,182.07,182.07,182.07,182.07
123,179.51,179.51,179.51,179.51,179.51,179.51,179.51,179.51,179.51,179.51
124,175.23,175.23,175.23,175.23,175.23,175.23,175.23,175.23,175.23,175.23
125,169.65,169.65,169.65,169.65,169.65,169.65,169.65,169.65,169.65,169.65
126,163.18,163.18,163.18,163.18,163.18,163.18,163.18,163.18,163.18,163.18
127,156.15,156.15,156.15,156.15,156.15,156.15,156.15,156.15,156.15,156.15
128,148.81,148.81,148.81,148.81,148.81,148.81,148.81,148.81,148.81,148.81
129,141.3,141.3,141.3,141.3,141.3,141.3,141.3,141.3,141.3,141.3
130,133.69,133.69,133.69,133.69,133.69,133.69,133.69,133.69,133.69,133.69
131,126.02,126.02,126.02,126.02,126.02,126.02,126.02,126.02,126.02,126.02
132,118.33,118.33,118.33,118.33,118.33,118.33,118.33,118.33,118.33,118.33
133,110.69,110.69,110.69,110.69,110.69,110.69,110.69,110.69,110.69,110.69
134,103.16,103.16,103.16,103.16,103.16,103.16,103.16,103.16,103.16,103.16
135,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8,95.8
136,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68
137,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83
138,75.25,75.25,75.25,75.25,75.25,75.25,75.25,75.25,75.25,75.25
139,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95
140,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95
141,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25
142,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.86
143,46.78,46.78,46.78,46.78,46.78,46.78,46.78,46.78,46.78,46.78
144,42.03,42.03,42.03,42.03,42.03,42.03,42.03,42.03,42.03,42.03
145,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59
146,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45
147,29.61,29.61,29.61,29.61,29.61,29.61,29.61,29.61,29.61,29.61
148,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07
149,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.81
150,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83
151,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11
152,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67
153,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48
154,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54
155,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83
156,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35
157,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
158,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
159,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
160,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27
161,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62
162,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
163,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
164,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
165,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
166,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
167,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
168,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.48
169,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.37
170,0.29,0.29,0.29,0.28,0.29,0.29,0.29,0.28,0.29,0.29
171,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22
172,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.19,0.18
173,0.16,0.17,0.16,0.2,0.18,0.18,0.17,0.15,0.16,0.14
174,0.15,0.16,0.15,0.2,0.17,0.17,0.16,0.12,0.15,0.11
175,0.15,0.16,0.15,0.19,0.17,0.18,0.16,0.11,0.14,0.09
176,0.15,0.17,0.15,0.15,0.19,0.19,0.17,0.11,0.15,0.08
177,0.17,0.19,0.17,0.08,0.21,0.21,0.18,0.12,0.17,0.07
178,0.19,0.22,0.19,-0.01,0.24,0.24,0.21,0.13,0.19,0.06
179,0.22,0.25,0.22,-0.1,0.27,0.27,0.24,0.15,0.22,0.05
180,0.25,0.28,0.25,-0.16,0.31,0.31,0.27,0.17,0.25,0.05
181,0.29,0.33,0.29,-0.17,0.35,0.36,0.31,0.2,0.29,0.06
182,0.33,0.37,0.33,-0.13,0.39,0.4,0.35,0.24,0.33,0.06
183,0.37,0.41,0.37,-0.06,0.43,0.45,0.4,0.27,0.37,0.07
184,0.42,0.46,0.42,0.0,0.48,0.49,0.44,0.31,0.41,0.09
185,0.46,0.51,0.47,0.03,0.53,0.54,0.49,0.36,0.46,0.11
186,0.51,0.55,0.51,0.0,0.58,0.59,0.54,0.4,0.51,0.13
187,0.56,0.6,0.56,-0.06,0.63,0.65,0.59,0.45,0.55,0.16
188,0.61,0.65,0.61,-0.13,0.68,0.7,0.64,0.49,0.61,0.2
189,0.66,0.71,0.67,-0.16,0.74,0.76,0.7,0.54,0.66,0.24
190,0.72,0.77,0.73,-0.12,0.81,0.82,0.75,0.59,0.72,0.28
191,0.78,0.84,0.79,-0.03,0.88,0.89,0.82,0.64,0.78,0.32
192,0.85,0.91,0.85,0.09,0.95,0.96,0.89,0.69,0.84,0.37
193,0.92,0.99,0.93,0.16,1.03,1.05,0.96,0.74,0.91,0.42
194,1.0,1.07,1.0,0.15,1.12,1.14,1.05,0.8,0.99,0.47
195,1.09,1.17,1.09,0.03,1.23,1.24,1.14,0.87,1.08,0.52
