,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
87,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998,0.509999999999998
88,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011,0.7800000000000011
89,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057,0.6500000000000057
90,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784,0.9299999999999784
91,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102,1.7700000000000102
92,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009,3.240000000000009
93,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016,4.170000000000016
94,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939,4.879999999999939
95,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066,5.490000000000066
96,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966,6.349999999999966
97,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
98,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
99,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
100,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041,12.330000000000041
101,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936,12.569999999999936
102,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052,11.380000000000052
103,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
104,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986,6.639999999999986
105,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
106,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
107,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715,0.029999999999972715
108,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807,-1.2399999999999807
109,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005,-2.260000000000005
110,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883,-3.1299999999999883
111,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065,-4.1100000000000065
112,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002,-4.990000000000002
113,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988,-5.629999999999988
114,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021,-5.930000000000021
115,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982,-5.769999999999982
116,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001,-5.27000000000001
117,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993,-4.569999999999993
118,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943,-3.8499999999999943
119,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009,-3.240000000000009
120,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034,-2.8400000000000034
121,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023,-2.5600000000000023
122,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993,-2.319999999999993
123,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023,-2.0600000000000023
